2022-05-09 14:17:02,243 INFO    MainThread:32692 [wandb_setup.py:_EarlyLogger._flush():76] Loading settings from /home/jay/.config/wandb/settings
2022-05-09 14:17:02,244 INFO    MainThread:32692 [wandb_setup.py:_EarlyLogger._flush():76] Loading settings from /home/jay/catkin_ws/src/social_navigation/scripts/wandb/settings
2022-05-09 14:17:02,244 INFO    MainThread:32692 [wandb_setup.py:_EarlyLogger._flush():76] Loading settings from environment variables: {}
2022-05-09 14:17:02,244 INFO    MainThread:32692 [wandb_setup.py:_EarlyLogger._flush():76] Inferring run settings from compute environment: {'program_relpath': 'scripts/sac_discrete.py', 'program': 'sac_discrete.py'}
2022-05-09 14:17:02,244 INFO    MainThread:32692 [wandb_init.py:_WandbInit._log_setup():428] Logging user logs to /home/jay/catkin_ws/src/social_navigation/scripts/wandb/run-20220509_141702-11ksb4bw/logs/debug.log
2022-05-09 14:17:02,244 INFO    MainThread:32692 [wandb_init.py:_WandbInit._log_setup():429] Logging internal logs to /home/jay/catkin_ws/src/social_navigation/scripts/wandb/run-20220509_141702-11ksb4bw/logs/debug-internal.log
2022-05-09 14:17:02,244 INFO    MainThread:32692 [wandb_init.py:_WandbInit.init():462] calling init triggers
2022-05-09 14:17:02,244 INFO    MainThread:32692 [wandb_init.py:_WandbInit.init():465] wandb.init called with sweep_config: {}
config: {}
2022-05-09 14:17:02,244 INFO    MainThread:32692 [wandb_init.py:_WandbInit.init():515] starting backend
2022-05-09 14:17:02,244 INFO    MainThread:32692 [backend.py:Backend._multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-05-09 14:17:02,247 INFO    MainThread:32692 [backend.py:Backend.ensure_launched():217] starting backend process...
2022-05-09 14:17:02,250 INFO    MainThread:32692 [backend.py:Backend.ensure_launched():222] started backend process with pid: 32733
2022-05-09 14:17:02,250 INFO    MainThread:32692 [wandb_init.py:_WandbInit.init():525] backend started and connected
2022-05-09 14:17:02,252 INFO    MainThread:32692 [wandb_init.py:_WandbInit.init():596] updated telemetry
2022-05-09 14:17:02,259 INFO    MainThread:32692 [wandb_init.py:_WandbInit.init():627] communicating run to backend with 30 second timeout
2022-05-09 14:17:02,936 INFO    MainThread:32692 [wandb_run.py:Run._on_init():1924] communicating current version
2022-05-09 14:17:02,970 INFO    MainThread:32692 [wandb_run.py:Run._on_init():1928] got version response 
2022-05-09 14:17:02,970 INFO    MainThread:32692 [wandb_init.py:_WandbInit.init():662] starting run threads in backend
2022-05-09 14:17:02,992 INFO    MainThread:32692 [wandb_run.py:Run._console_start():1898] atexit reg
2022-05-09 14:17:02,992 INFO    MainThread:32692 [wandb_run.py:Run._redirect():1771] redirect: SettingsConsole.REDIRECT
2022-05-09 14:17:02,992 INFO    MainThread:32692 [wandb_run.py:Run._redirect():1776] Redirecting console.
2022-05-09 14:17:02,993 INFO    MainThread:32692 [wandb_run.py:Run._redirect():1832] Redirects installed.
2022-05-09 14:17:02,993 INFO    MainThread:32692 [wandb_init.py:_WandbInit.init():688] run started, returning control to user process
